SpriteFile ObjectType posX posY tessX tessY scaleX scaleY
Body.png actor -6 3 0 0 0.5 0.5
Door.png door 6 -3 0 0 1 1
Grass.png floor -7 2 2 0 1 1
Grass.png floor -5 -4 13 0 1 1
Dirt.png wall -7 1 0 -6 1 1
Dirt.png wall -6 1 0 -6 1 1
Dirt.png wall -3 4 11 0 1 1
Dirt.png wall -3 3 11 0 1 1
Dirt.png wall -3 2 11 0 1 1
Dirt.png wall -3 1 11 0 1 1
Dirt.png wall -3 0 11 0 1 1
Dirt.png wall -3 -1 0 0 1 1
Mace.png hazard -5 2 0 0 1 1
Mace.png hazard -4 -2 0 0 1 1
Mace.png hazard -1 -2 0 0 0.25 0.25
Mace.png hazard 0 -3 0 0 0.25 0.25
Mace.png hazard 2 -3 0 0 0.25 0.25
Mace.png hazard 3 -2 0 0 0.25 0.25
