SpriteFile ObjectType posX posY tessX tessY scaleX scaleY
Body.png actor 0 1 0 0 0.5 0.5
Door.png door -6 3 0 0 1 1
Grass.png floor -7 2 2 0 1 1
Grass.png floor -6 0 0 0 1 1
Grass.png floor -4 1 0 0 1 1
Grass.png floor -5 -1 0 0 1 1
Grass.png floor -2 -2 0 0 1 1
Grass.png floor -1 0 3 0 1 1
Grass.png floor 0 -3 0 0 1 1
Grass.png floor 1 -4 2 0 1 1
Grass.png floor 3 1 0 0 1 1
Grass.png floor 6 2 0 0 1 1
Grass.png floor 6 -4 2 0 1 1
Dirt.png wall -2 4 4 0 1 1
Dirt.png wall 0 -4 0 0 1 1
Dirt.png wall 4 -4 0 0 1 1
Dirt.png wall 6 1 0 -3 1 1
Mace.png hazard -2 3 0 0 1 1
Mace.png hazard -2 1 0 0 1 1
Mace.png hazard 0 -1 0 0 0.5 0.5
Mace.png hazard 2 -1 0 0 1 1
Mace.png hazard 4 -3 0 0 1 1
Mace.png hazard 5 0 0 0 1 1
