SpriteFile ObjectType posX posY tessX tessY scaleX scaleY
Body.png actor -6 0 0 0 0.5 0.5
Door.png door -6 -3 0 0 1 1
Grass.png floor -7 -1 4 0 1 1
Grass.png floor -7 -4 4 0 1 1
Grass.png floor -5 2 2 0 1 1
Grass.png floor -2 0 0 0 1 1
Grass.png floor -1 1 0 0 1 1
Grass.png floor 0 2.3 3 0 1 0.5
Grass.png floor 0 -4 2 0 1 1
Grass.png floor 4 -4 0 0 1 1
Grass.png floor 7 -4 0 0 1 1
Mace.png hazard -3 -1 0 0 1 1
Mace.png hazard 5 0 0 0 1 1
Mace.png hazard 4 -1 0 0 1 1
Mace.png hazard 1 -2 0 0 0.75 0.75
Dirt.png wall -7 -2 4 0 1 1
Dirt.png wall 0 2 3 0 1 1
Dirt.png wall 0 1 3 0 1 1
Dirt.png wall -1 0 4 0 1 1
