SpriteFile ObjectType posX posY tessX tessY scaleX scaleY
Body.png actor -6 3 0 0 0.5 0.5
Door.png door -1 3 0 0 1 1
Grass.png floor -7 2 3 0 1 1
Grass.png floor -4 -4 3 0 1 1
Grass.png floor 1 -4 2 0 1 1
Grass.png floor 4 -3 0 0 1 1
Grass.png floor 6 -2 0 0 1 1
Grass.png floor 4 -0.5 0 0 1 0.5
Grass.png floor 1 1 0 0 1 1
Grass.png floor 3 0 0 0 1 1
Grass.png floor -1 2 2 0 1 1
Mace.png hazard -4 2 0 0 1 1
Mace.png hazard -3 -1 0 0 1 1
Mace.png hazard 1 -1 0 0 0.75 0.75
Mace.png hazard 4 -1 0 0 1 1
Mace.png hazard 1 4 0 0 1 1
Dirt.png wall -7 1 0 -6 1 1
Dirt.png wall -6 1 0 -6 1 1
Dirt.png wall -5 1 0 -6 1 1
Dirt.png wall -2 4 0 -7 1 1
Dirt.png wall -1 0 3 0 1 1
Dirt.png wall -1 1 2 0 1 1
