SpriteFile ObjectType posX posY tessX tessY scaleX scaleY
Body.png actor -2 0 0 0 0.5 0.5
Door.png door 2 0 0 0 1 1
Grass.png floor -7 0 0 0 1 1
Grass.png floor -6 -1 0 0 1 1
Grass.png floor -4 -2 0 0 1 1
Grass.png floor -2 -1 2 0 1 1
Grass.png floor -4 1 0 0 1 1
Grass.png floor -2 1 5 0 1 1
Grass.png floor 4 1 0 0 1 1
Grass.png floor 1 -1 2 0 1 1
Grass.png floor 4 -2 0 0 1 1
Dirt.png wall -7 -1 0 -4 1 1
Dirt.png wall -6 -2 0 -3 1 1
Dirt.png wall 0 0 0 -5 1 1
Mace.png hazard -3 -1 0 0 0.25 0.25
Mace.png hazard -3 1 0 0 0.9 0.9
Mace.png hazard -2 3 0 0 0.25 0.25
Mace.png hazard -1 2 0 0 0.25 0.25
Mace.png hazard 1 3 0 0 0.25 0.25
Mace.png hazard 2 2 0 0 0.25 0.25
Mace.png hazard 3 1 0 0 0.9 0.9
