SpriteFile ObjectType posX posY tessX tessY scaleX scaleY
Body.png actor 6 3 0 0 0.5 0.5
Door.png door 0 2 0 0 1 1
Grass.png floor 6 2 2 0 1 1
Grass.png floor 5 -1 0 0 1 1
Grass.png floor 5 -4 3 0 1 1
Grass.png floor 2 -3 0 0 1 1
Grass.png floor -1 -2 0 0 1 1
Grass.png floor -5 -4 3 0 1 1
Grass.png floor -7 -3 0 0 1 1
Grass.png floor -7 -1 0 0 1 1
Grass.png floor -5 -2 0 0 1 1
Grass.png floor -5 0 0 0 1 1
Grass.png floor -3 0 0 0 1 1
Grass.png floor 0 1 0 0 1 1
Dirt.png wall -4 0 0 -3 1 1
Dirt.png wall 3 4 0 -5 1 1
Mace.png hazard -4 1 0 0 1 1
Mace.png hazard 5 2 0 0 0.5 0.5
Mace.png hazard 4 0 0 0 0.5 0.5
Mace.png hazard 5 -2 0 0 0.5 0.5
Mace.png hazard 7 -3 0 0 1 1
